Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 06월 24일 16:46:40


날짜 	시간 	X축 	Y축 	Z축 	방위 
2025-06-24	16:46:48[394]	87	-58	0	326.30993247402
2025-06-24	16:46:48[434]	88	-54	8	328.465208094812
2025-06-24	16:46:48[473]	80	-53	-7	326.475526751423
2025-06-24	16:46:48[473]	82	-41	-6	333.434948822922
2025-06-24	16:46:48[513]	66	-51	2	322.305759533311
2025-06-24	16:46:48[544]	67	-44	10	326.706436729153
2025-06-24	16:46:48[573]	65	-49	15	322.989326766397
2025-06-24	16:46:48[608]	67	-56	20	320.110417561031
2025-06-24	16:46:48[618]	65	-52	25	321.34019174591
2025-06-24	16:46:48[658]	67	-53	25	321.654425046007
2025-06-24	16:46:48[688]	63	-55	33	318.878524502848
2025-06-24	16:46:48[718]	68	-55	32	321.033253006201
2025-06-24	16:46:48[748]	69	-59	32	319.467159061389
2025-06-24	16:46:48[769]	70	-55	32	321.842773412631
2025-06-24	16:46:48[798]	71	-54	28	322.744710546423
2025-06-24	16:46:48[826]	66	-51	27	322.305759533311
2025-06-24	16:46:48[866]	67	-54	31	321.132222497679
2025-06-24	16:46:48[876]	65	-51	27	321.881723630637
2025-06-24	16:46:48[906]	72	-57	32	321.632514615138
2025-06-24	16:46:48[940]	71	-52	24	323.781162734385
2025-06-24	16:46:48[973]	69	-56	24	320.937416099482
2025-06-24	16:46:49[008]	70	-49	25	325.007979801441
2025-06-24	16:46:49[022]	67	-50	21	323.267173335511
2025-06-24	16:46:49[055]	70	-49	13	325.007979801441
2025-06-24	16:46:49[088]	78	-53	12	325.804394597539
2025-06-24	16:46:49[118]	72	-53	6	323.642802580005
2025-06-24	16:46:49[148]	84	-59	6	324.916526120907
2025-06-24	16:46:49[161]	85	-54	4	327.572445004228
2025-06-24	16:46:49[194]	87	-53	11	328.650419134757
2025-06-24	16:46:49[228]	85	-50	17	329.53445508054
2025-06-24	16:46:49[261]	92	-53	24	330.054316559605
2025-06-24	16:46:49[295]	93	-62	23	326.30993247402
2025-06-24	16:46:49[305]	86	-52	30	328.840695491656
2025-06-24	16:46:49[338]	84	-62	27	323.569141879838
2025-06-24	16:46:49[372]	88	-60	20	325.713123022791
2025-06-24	16:46:49[412]	84	-56	26	326.30993247402
2025-06-24	16:46:49[422]	86	-57	21	326.463953015693
2025-06-24	16:46:49[462]	87	-60	33	325.40771131249
2025-06-24	16:46:49[794]	90	-55	27	328.570434385161
2025-06-24	16:46:49[794]	82	-55	29	326.148989696442
2025-06-24	16:46:49[794]	84	-59	22	324.916526120907
