Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 11월 03일 13:31:49


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h) 	rel 	abs_rel 	threshold_t 	state	X축 	Y축 	Z축 	방위 	분당교통량(min / count) 	차량속도(km / h) 	rel 	abs_rel 	threshold_t 	state	최종 분당교통량(min / count) 	최종 차량속도(km / h)
2025-11-03	14:19:25[249]	0	0	0	0	0	0	0	0	0	0	122	188	-287	57.0190024545445	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:26[055]	0	0	0	0	0	0	0	0	0	0	115	185	-287	58.1340223063963	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:26[061]	0	0	0	0	0	0	0	0	0	0	118	186	-279	57.6086067933662	0	0	-439	439	102	1	0	0.0
2025-11-03	14:19:26[067]	0	0	0	0	0	0	0	0	0	0	118	188	-292	57.8851693997033	0	0	-452	452	102	1	0	0.0
2025-11-03	14:19:26[073]	0	0	0	0	0	0	0	0	0	0	112	194	-291	60.0013184604715	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:26[225]	0	0	0	0	0	0	0	0	0	0	113	185	-284	58.5829635298367	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:26[433]	0	0	0	0	0	0	0	0	0	0	114	182	-286	57.9380563171864	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:26[626]	0	0	0	0	0	0	0	0	0	0	115	188	-284	58.5457857398707	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:26[817]	0	0	0	0	0	0	0	0	0	0	116	189	-283	58.4602032224002	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:27[009]	0	0	0	0	0	0	0	0	0	0	118	185	-285	57.4687282699551	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:27[216]	0	0	0	0	0	0	0	0	0	0	122	187	-285	56.879312781268	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:27[409]	0	0	0	0	0	0	0	0	0	0	118	193	-286	58.5584277257578	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:27[601]	0	0	0	0	0	0	0	0	0	0	115	191	-281	58.9480961843736	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:27[809]	0	0	0	0	0	0	0	0	0	0	113	187	-285	58.8563515016985	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:28[001]	0	0	0	0	0	0	0	0	0	0	110	187	-279	59.5344550805401	0	0	-439	439	102	1	0	0.0
2025-11-03	14:19:28[194]	0	0	0	0	0	0	0	0	0	0	120	185	-285	57.0305960965379	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:28[402]	0	0	0	0	0	0	0	0	0	0	116	186	-286	58.0500285536668	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:28[594]	0	0	0	0	0	0	0	0	0	0	114	191	-286	59.1687700924458	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:28[786]	0	0	0	0	0	0	0	0	0	0	112	193	-287	59.8729401832213	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:28[976]	0	0	0	0	0	0	0	0	0	0	111	191	-281	59.8369087615607	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:29[186]	0	0	0	0	0	0	0	0	0	0	116	187	-294	58.1878099213056	0	0	-454	454	102	1	0	0.0
2025-11-03	14:19:29[377]	0	0	0	0	0	0	0	0	0	0	113	185	-287	58.5829635298367	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:29[569]	0	0	0	0	0	0	0	0	0	0	107	191	-285	60.7420399508709	0	0	-445	445	102	1	0	0.0
