Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2020년 06월 16일 13:33:07


날짜/시간 	 Wind_Driction 	 Wind_Speed
2020-06-16 16:55:47:596	283	0.3147086
2020-06-16 16:55:48:585	285	0.2927952
2020-06-16 16:55:49:593	290	0.2886284
2020-06-16 16:55:50:588	298	0.3049963
2020-06-16 16:55:51:593	307	0.2526283
2020-06-16 16:55:52:606	307	0
2020-06-16 16:55:53:593	307	0
2020-06-16 16:55:54:599	307	0
2020-06-16 16:55:55:592	307	0
2020-06-16 16:55:56:584	307	0
2020-06-16 16:55:57:592	307	0
2020-06-16 16:55:58:598	307	0
2020-06-16 16:55:59:590	307	0.2188595
2020-06-16 16:56:00:595	297	0.2736376
2020-06-16 16:56:01:593	283	0.270012
2020-06-16 16:56:02:589	282	0.2185959
2020-06-16 16:56:03:593	282	0
2020-06-16 16:56:04:588	282	0
2020-06-16 16:56:05:589	282	0
2020-06-16 16:56:06:597	288	0.259901
2020-06-16 16:56:07:590	288	0
2020-06-16 16:56:08:597	288	0
2020-06-16 16:56:09:604	288	0
2020-06-16 16:56:10:597	288	0
2020-06-16 16:56:11:591	276	0.3685254
2020-06-16 16:56:12:596	282	0.3381662
2020-06-16 16:56:13:587	292	0.2794559
2020-06-16 16:56:14:595	287	0.2713279
2020-06-16 16:56:15:586	283	0.2310841
2020-06-16 16:56:16:594	283	0.2192954
2020-06-16 16:56:17:585	283	0.2335109
2020-06-16 16:56:18:609	283	0.2180379
2020-06-16 16:56:19:602	255	0.2604976
2020-06-16 16:56:20:593	266	0.2472769
2020-06-16 16:56:21:602	266	0.2397264
2020-06-16 16:56:22:592	266	0.2488041
2020-06-16 16:56:23:586	303	0.2382527
2020-06-16 16:56:24:595	303	0.2453647
2020-06-16 16:56:25:602	290	0.3191875
2020-06-16 16:56:26:591	295	0.2804517
2020-06-16 16:56:27:600	295	0.1785443
2020-06-16 16:56:28:593	295	0
2020-06-16 16:56:29:584	295	0
2020-06-16 16:56:30:593	295	0
2020-06-16 16:56:31:587	285	0.2965269
2020-06-16 16:56:32:590	284	0.3277644
