Wind Monitoring Program V1.0
ȸ �� �� : (��)����
�ۼ����� : 2020�� 06�� 09�� 10:08:09


��¥/�ð� 	 Wind_Driction 	 Wind_Speed
2020-06-09 10:17:35:658	167	0
2020-06-09 10:17:36:646	167	0
2020-06-09 10:17:37:653	167	0
2020-06-09 10:17:38:658	167	0
2020-06-09 10:17:39:664	167	0
2020-06-09 10:17:40:654	167	0
2020-06-09 10:17:41:662	167	0
2020-06-09 10:17:42:653	167	0
2020-06-09 10:17:43:642	167	0.2318926
2020-06-09 10:17:44:649	167	0.2107042
2020-06-09 10:17:45:652	167	0.2014764
2020-06-09 10:17:46:664	167	0
2020-06-09 10:17:47:649	167	0
2020-06-09 10:17:48:656	167	0
2020-06-09 10:17:49:665	167	0
2020-06-09 10:17:50:650	167	0
2020-06-09 10:17:51:658	167	0
2020-06-09 10:17:52:663	167	0
2020-06-09 10:17:53:651	167	0
2020-06-09 10:17:54:657	167	0
2020-06-09 10:17:55:650	167	0
2020-06-09 10:17:56:653	167	0
2020-06-09 10:17:57:658	167	0
2020-06-09 10:17:58:648	167	0
2020-06-09 10:17:59:657	167	0
2020-06-09 10:18:00:661	167	0
2020-06-09 10:18:01:666	167	0
2020-06-09 10:18:02:658	167	0
2020-06-09 10:18:03:647	167	0
2020-06-09 10:18:04:652	167	0
2020-06-09 10:18:05:658	167	0
2020-06-09 10:18:06:648	167	0
2020-06-09 10:18:07:654	167	0
2020-06-09 10:18:08:644	167	0
2020-06-09 10:18:09:649	167	0
2020-06-09 10:18:10:655	167	0
2020-06-09 10:18:11:661	167	0
2020-06-09 10:18:12:667	167	0
2020-06-09 10:18:13:657	167	0
2020-06-09 10:18:14:662	167	0
2020-06-09 10:18:15:656	167	0
2020-06-09 10:18:16:661	167	0
2020-06-09 10:18:17:669	167	0
2020-06-09 10:18:18:656	167	0
2020-06-09 10:18:19:660	167	0
2020-06-09 10:18:20:649	167	0
2020-06-09 10:18:21:677	167	0
2020-06-09 10:18:22:661	167	0
2020-06-09 10:18:23:654	167	0
2020-06-09 10:18:24:642	167	0
2020-06-09 10:18:25:649	167	0
2020-06-09 10:18:26:656	167	0
2020-06-09 10:18:27:659	167	0
2020-06-09 10:18:28:665	167	0
2020-06-09 10:18:29:655	167	0
2020-06-09 10:18:30:660	167	0
2020-06-09 10:18:31:651	167	0
2020-06-09 10:18:32:658	167	0
2020-06-09 10:18:33:647	167	0
2020-06-09 10:18:34:669	167	0
2020-06-09 10:18:35:658	167	0
2020-06-09 10:18:36:664	167	0
2020-06-09 10:18:37:655	167	0
2020-06-09 10:18:38:660	167	0
2020-06-09 10:18:39:666	167	0
2020-06-09 10:18:40:657	167	0
2020-06-09 10:18:41:661	167	0
2020-06-09 10:18:42:652	167	0
2020-06-09 10:18:43:657	167	0
2020-06-09 10:18:44:663	167	0
2020-06-09 10:18:45:652	167	0
2020-06-09 10:18:46:659	167	0
2020-06-09 10:18:47:648	167	0
2020-06-09 10:18:48:655	167	0
2020-06-09 10:18:49:660	167	0
2020-06-09 10:18:50:665	167	0
2020-06-09 10:18:51:660	167	0
2020-06-09 10:18:52:662	167	0
2020-06-09 10:18:53:667	167	0
2020-06-09 10:18:54:661	167	0
2020-06-09 10:18:55:663	167	0
2020-06-09 10:18:56:656	167	0
2020-06-09 10:18:57:660	167	0
2020-06-09 10:18:58:666	167	0
2020-06-09 10:18:59:642	167	0
2020-06-09 10:19:00:644	167	0
