Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 15일 16:16:24


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-15 16:23:56:706	36.4	20.6	0	0
2021-04-15 16:23:57:713	36.4	20.5	0	0
2021-04-15 16:23:58:722	36.4	20.5	0	0
2021-04-15 16:23:59:729	36.4	20.6	0	0
2021-04-15 16:24:00:719	36.4	20.7	0	0
2021-04-15 16:24:01:728	36.5	20.7	0	0
2021-04-15 16:24:02:721	36.5	20.8	0	0
2021-04-15 16:24:03:742	36.5	20.8	0	0
2021-04-15 16:24:04:733	36.5	20.8	0	0
2021-04-15 16:24:05:744	36.5	20.8	0	0
2021-04-15 16:24:06:751	36.5	20.8	0	0
2021-04-15 16:24:07:759	36.4	20.7	0	0
2021-04-15 16:24:08:751	36.4	20.7	0	0
2021-04-15 16:24:09:754	36.5	20.7	0	0
2021-04-15 16:24:10:766	36.5	20.6	0	0
2021-04-15 16:24:11:774	36.5	20.6	0	0
2021-04-15 16:24:12:766	36.5	20.5	0	0
2021-04-15 16:24:13:772	36.4	20.6	0	0
2021-04-15 16:24:14:782	36.4	20.6	0	0
2021-04-15 16:24:15:787	36.5	20.5	0	0
2021-04-15 16:24:16:781	36.5	20.5	0	0
2021-04-15 16:24:17:789	36.5	20.5	0	0
2021-04-15 16:24:18:796	36.4	20.4	0	0
2021-04-15 16:24:19:802	36.2	20.4	0	0
2021-04-15 16:24:20:795	36.2	20.4	0	0
2021-04-15 16:24:21:804	36.3	20.4	0	0
2021-04-15 16:24:22:804	36.3	20.4	0	0
2021-04-15 16:24:23:817	36.3	20.3	0	0
2021-04-15 16:24:24:801	36.2	20.4	0	0
2021-04-15 16:24:25:819	36.2	20.4	0	0
2021-04-15 16:24:26:825	36.3	20.5	0	0
2021-04-15 16:24:27:834	36.4	20.6	0	0
2021-04-15 16:24:28:828	36.3	20.6	0	0
2021-04-15 16:24:29:825	36.3	20.6	0	0
2021-04-15 16:24:30:841	36.3	20.6	0	0
2021-04-15 16:24:31:850	36.3	20.7	0	0
2021-04-15 16:24:32:842	36.4	20.6	0	0
2021-04-15 16:24:33:849	36.4	20.6	0	0
2021-04-15 16:24:34:857	36.4	20.6	0	0
2021-04-15 16:24:35:865	36.4	20.6	0	0
2021-04-15 16:24:36:856	36.4	20.6	0	0
2021-04-15 16:24:37:864	36.5	20.6	0	0
2021-04-15 16:24:38:871	36.5	20.6	0	0
2021-04-15 16:24:40:866	36.4	20.6	0	0
2021-04-15 16:24:41:866	36.4	20.6	0	0
2021-04-15 16:24:42:877	36.4	20.5	0	0
2021-04-15 16:24:44:879	36.4	20.6	0	0
2021-04-15 16:24:45:894	36.4	20.6	0	0
2021-04-15 16:24:46:894	36.4	20.6	0	0
2021-04-15 16:24:48:925	36.5	20.6	0	0
2021-04-15 16:24:49:909	36.5	20.6	0	0
2021-04-15 16:24:50:909	36.5	20.6	0	0
2021-04-15 16:24:51:910	36.5	2	0	0
2021-04-15 16:24:52:910	36.5	20.5	0	0
2021-04-15 16:24:53:925	36.4	20.5	0	0
2021-04-15 16:24:54:925	36.4	20.5	0	0
2021-04-15 16:24:55:924	36.5	20.5	0	0
2021-04-15 16:24:56:924	36.5	20.5	0	0
2021-04-15 16:24:57:940	36.5	20.5	0	0
2021-04-15 16:24:58:939	36.5	20.5	0	0
2021-04-15 16:24:59:940	36.5	20.6	0	0
2021-04-15 16:25:00:941	36.5	20.6	0	0
2021-04-15 16:25:01:940	36.5	20.6	0	0
2021-04-15 16:25:02:954	36.4	20.6	0	0
2021-04-15 16:25:03:954	36.4	20.7	0	0
2021-04-15 16:25:04:954	36.4	20.7	0	0
2021-04-15 16:25:05:969	36.4	20.7	0	0
2021-04-15 16:25:06:969	36.4	20.7	0	0
2021-04-15 16:25:07:957	36.4	20.7	0	0
2021-04-15 16:25:08:973	36.5	20.7	0	0
2021-04-15 16:25:09:973	36.5	20.6	0	0
